config_hash,graph_hash,damage_seed,seed,graph_family,graph_split,damage_family,damage_split,policy_anchor,allocation_buffer,allocation_recovery,allocation_reconfiguration,allocation_split,total_energy_E,initial_max_flow,post_policy_max_flow,required_flow_Q,horizon_T,damage_intensity,max_flow_series,q_series,margin_series,collapse_time,maintained_step_ratio,maintained_flow_ratio,minimum_margin,buffer_energy_spent,recovery_energy_spent,reconfiguration_energy_spent,active_bypass_edges,degeneracy_flags,final_graph_hash
8bb1235d346f7cff,f1ccb787744a834b,f14844e8e0adc73c,1000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,10,0,0,calibration,10,8,11,3,8,0.18,"[8,8,6,3,3,2,2,2]","[3,3,3,3,3,3,3,3]","[5,5,3,0,0,-1,-1,-1]",5,0.625,0.875,-1,10,0,0,0,,dc2d7130347419c7
5ebf73a8a2a42d01,f1ccb787744a834b,baffe1049a0d1cbe,1000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,2,0,calibration,10,8,11,3,8,0.18,"[9,9,8,7,6,5,2,2]","[3,3,3,3,3,3,3,3]","[6,6,5,4,3,2,-1,-1]",6,0.75,0.9166666666666666,-1,8,2,0,0,,f08bb8e50dbeb5d3
1b48db09439fdbc4,f1ccb787744a834b,9f8b8d6827bf8fd9,1000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,8,0,2,calibration,10,8,11,3,8,0.18,"[11,11,10,7,5,5,4,4]","[3,3,3,3,3,3,3,3]","[8,8,7,4,2,2,1,1]",,1.0,1.0,1,8,0,2,2,no_collapse,8f99740040c8a62b
ea47b3fc6ae0bdf0,f1ccb787744a834b,447de40dfe3a061e,1000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,4,0,calibration,10,8,11,3,8,0.18,"[11,11,8,7,7,6,5,5]","[3,3,3,3,3,3,3,3]","[8,8,5,4,4,3,2,2]",,1.0,1.0,2,6,4,0,0,no_collapse,bc9ccf739648bfcc
c37ce407131bf732,f1ccb787744a834b,f9a3ea7ed2042ac8,1000,layered_dag,calibration,random_attrition,calibration,buffer_heavy,6,2,2,calibration,10,8,11,3,8,0.18,"[11,10,10,10,8,7,5,5]","[3,3,3,3,3,3,3,3]","[8,7,7,7,5,4,2,2]",,1.0,1.0,2,6,2,2,2,no_collapse,a9373851f98b148f
0d3bf4311682927b,f1ccb787744a834b,c6daac65d780eaa1,1000,layered_dag,calibration,random_attrition,calibration,balanced,4,3,3,calibration,10,8,11,3,8,0.18,"[12,11,10,9,9,7,4,4]","[3,3,3,3,3,3,3,3]","[9,8,7,6,6,4,1,1]",,1.0,1.0,1,4,3,3,3,no_collapse,3a1ea7180c836714
aa7ce87924103ef9,f1ccb787744a834b,0c81c0ad2d859cd0,1000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,8,2,calibration,10,8,8,3,8,0.18,"[10,8,7,6,5,4,3,2]","[3,3,3,3,3,3,3,3]","[7,5,4,3,2,1,0,-1]",7,0.875,0.9583333333333334,-1,0,8,2,2,,62eb7597ddc4450f
da27343aeb2b7043,f1ccb787744a834b,d819b5507692dff9,1000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,2,8,calibration,10,8,8,3,8,0.18,"[10,9,6,6,6,6,6,5]","[3,3,3,3,3,3,3,3]","[7,6,3,3,3,3,3,2]",,1.0,1.0,2,0,2,8,8,no_collapse,e8bf3eab9ad5a5c2
8de85aa5534c9bdb,f1ccb787744a834b,9f2d3296c75544b1,1000,layered_dag,calibration,random_attrition,calibration,recovery_heavy,0,10,0,calibration,10,8,8,3,8,0.18,"[8,8,8,8,7,5,4,3]","[3,3,3,3,3,3,3,3]","[5,5,5,5,4,2,1,0]",,1.0,1.0,0,0,10,0,0,no_collapse,3ab40d34c9ecbd14
a99b94c4d9c69d8f,f1ccb787744a834b,1e65b249bd1cadf4,1000,layered_dag,calibration,random_attrition,calibration,reconfiguration_heavy,0,0,10,calibration,10,8,8,3,8,0.18,"[9,8,6,6,4,3,2,2]","[3,3,3,3,3,3,3,3]","[6,5,3,3,1,0,-1,-1]",6,0.75,0.9166666666666666,-1,0,0,10,10,,3d735f2737c29c40
